MAP,nDCG@K,Precision@K,Recall@K,version,algorithm
0.1732585355211498,0.2819540296144712,0.2520860927152318,0.0825326666599016,similarity_cooccurrence_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.2195331382629701,0.3456095926277089,0.307864238410596,0.1147652178529455,similarity_cosine_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.0069204708281399,0.0203862136056634,0.0255629139072847,0.0058925797314029,similarity_inclusion index_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.1850985029206066,0.3098623059425086,0.2792218543046357,0.1095620759708485,similarity_jaccard_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.0,0.0,0.0,0.0,similarity_lexicographers mutual information_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
9.828678988151552e-05,0.000359969795626,0.0004139072847682,0.0001829818322102,similarity_lift_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.0080599139399795,0.0187902597886106,0.0194720026904321,0.0030719760657223,similarity_mutual information_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.1732585355211498,0.2819540296144712,0.2520860927152318,0.0825326666599016,similarity_cooccurrence_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.2195331382629701,0.3456095926277089,0.307864238410596,0.1147652178529455,similarity_cosine_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.0069204708281399,0.0203862136056634,0.0255629139072847,0.0058925797314029,similarity_inclusion index_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.1850985029206066,0.3098623059425086,0.2792218543046357,0.1095620759708485,similarity_jaccard_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.0,0.0,0.0,0.0,similarity_lexicographers mutual information_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
9.828678988151552e-05,0.000359969795626,0.0004139072847682,0.0001829818322102,similarity_lift_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.0080599139399795,0.0187902597886106,0.0194720026904321,0.0030719760657223,similarity_mutual information_top_k_10_validate_size_0.25_time_decay_coefficient_30,sar
0.0783918754817968,0.1533890628829183,0.1428807947019867,0.0541534041785618,n_factors_4_batch_size_256_lr_0.001_epochs_10,ncf
0.077210069001233,0.1519508160249094,0.1409933774834437,0.0545139980851878,n_factors_4_batch_size_256_lr_0.001_epochs_15,ncf
0.0790345466583739,0.153289888335473,0.1427483443708609,0.0545360287236149,n_factors_4_batch_size_512_lr_0.001_epochs_10,ncf
0.0796930800573233,0.1548676013175323,0.1445860927152318,0.0551510027771609,n_factors_4_batch_size_512_lr_0.001_epochs_15,ncf
0.2598839738050604,0.3895655199198194,0.35894039735099337,0.12863626465883723,latent_dim_50_epochs_300_lr_0.001,bivae
0.27842831832880316,0.4105651967836704,0.37624172185430466,0.13626374374267441,latent_dim_50_epochs_500_lr_0.001,bivae
0.2520576067899566,0.38163963761028225,0.35120860927152314,0.12415950891372508,latent_dim_100_epochs_300_lr_0.001,bivae
0.27120608635593063,0.4054282728872552,0.37317880794701985,0.13709341055231974,latent_dim_100_epochs_500_lr_0.001,bivae
